Snap Date,Dep Date,Return Date,Dep time,Dep Time,Dep Duration,From,Back time,Back Comp,Stops,Back Time,Back Duration,Back Arrival,From,Stops,Landing,Price
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
2025-03-01,2025-03-02,2025-03-03,4:20 pm – 6:40 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:20 pm – 4:35 pm,easyJet,nonstop,1h 15m,CDG,LTN,$219,Standard,Expedia
