Snap Date,Dep Date,Return Date,Dep time,Dep Time,Dep Duration,From,Back time,Back Comp,Stops,Back Duration,Back Arrival,Stops,Dep Airport,Back Airport,Price,Class
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,9:55 am – 10:15 am,easyJet,nonstop,1h 20m,CDG,LTN,$112,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$123,Economy
2025-03-04,2025-03-05,2025-03-06,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,9:55 am – 10:15 am,easyJet,nonstop,1h 20m,CDG,LTN,$122,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$127,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,5:40 pm – 5:45 pm,easyJet,nonstop,1h 05m,CDG,LGW,$129,Economy
2025-03-04,2025-03-05,2025-03-06,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$130,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,2:10 pm – 2:25 pm,Vueling,nonstop,1h 15m,ORY,LHR,$127,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,6:15 pm – 6:20 pm,Vueling,nonstop,1h 05m,ORY,LGW,$136,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:40 pm – 2:55 pm,easyJet,nonstop,1h 15m,CDG,LTN,$130,Economy
2025-03-04,2025-03-05,2025-03-06,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:10 pm – 2:25 pm,Vueling,nonstop,1h 15m,ORY,LHR,$134,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$137,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$136,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,12:05 pm – 12:15 pm,Vueling,nonstop,1h 10m,ORY,LGW,$136,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$136,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,6:15 pm – 6:20 pm,Vueling,nonstop,1h 05m,ORY,LGW,$137,Economy
